"id","wrkstat","marital","childs","age","educ","paeduc","maeduc","speduc","degree","sex","race","born","parborn","granborn","income","rincome","polviews","cappun","postlife","happy","hapmar","owngun","news","tvhours","howpaid","ethnic","eth1","eth2","eth3","confinan","conbus","coneduc","conpress","conmedic","contv","agecat","childcat","news1","news2","news3","news4","news5","car1","car2","car3"
1613,"Working full time","Never married",0,37,16,16,16,NA,"Bachelor","Female","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Extremely conservative","Favor","Yes","Pretty happy",NA,NA,"Less than once a week",3,NA,"Ireland","Ireland",NA,NA,"Only some","Only some","Only some","Hardly any","A great deal","Only some","35 to 44","None","No","No","Yes","No","Yes","American",NA,NA
1614,"Working full time","Never married",1,32,12,6,12,NA,"High school","Male","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Slightly conservative","Favor","Yes","Very happy",NA,"Yes","Less than once a week",7,NA,"American only","American only",NA,NA,NA,NA,NA,NA,NA,NA,"25 to 34","1-2","No","No","Yes","No","No","German","Japanese","Swedish"
1615,"Working full time","Married",3,29,16,NA,16,NA,"Bachelor","Male","Black","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Conservative","Favor","Yes","Very happy","Very happy",NA,"Every day",2,"Monthly salary","Africa","Africa","American Indian","France","Hardly any","Only some","Hardly any","Hardly any","Only some","Hardly any","25 to 34","3-4","Yes","No","No","No","No","American","American","Japanese"
1616,"School","Never married",0,29,15,20,16,NA,"High school","Male","Other","No","Neither in U.S.",4,"$20000 - 24999","$20000 - 24999","Moderate","Favor","Yes","Very happy",NA,"No","Once a week",6,NA,"American only","Philippines","Spain","American only",NA,NA,NA,NA,NA,NA,"25 to 34","None","No","Yes","Yes","No","No","Korean","Korean",NA
1617,"Other","Divorced",5,59,10,2,3,NA,"LT High school","Male","Black","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Moderate","Oppose",NA,"Not too happy",NA,"No",NA,NA,NA,"Africa","Africa",NA,NA,"A great deal",NA,NA,"A great deal","A great deal","Only some","55 to 64","5 or more","No","No","No","No","No","American","American",NA
1618,"Working full time","Divorced",6,57,7,NA,NA,NA,"LT High school","Male","White","Yes","Both in U.S.",4,"$20000 - 24999","$20000 - 24999","Slightly liberal","Oppose","Yes","Pretty happy",NA,"Yes","Less than once a week",5,"Other pay rate","Norway","Norway",NA,NA,NA,NA,NA,NA,NA,NA,"55 to 64","5 or more","No","No","Yes","No","No","Japanese","Korean","American"
1619,"Working full time","Married",0,25,19,12,10,16,"Graduate","Female","White","Yes","Both in U.S.",0,"$25000 or more","$15000 - 19999","Liberal","Favor","Yes","Pretty happy","Very happy","No","Less than once a week",8,"Annual salary","England and Wales","England and Wales",NA,NA,NA,NA,NA,NA,NA,NA,"25 to 34","None","No","No","Yes","No","No","Japanese","Japanese","American"
1620,"Working full time","Divorced",2,52,9,NA,NA,NA,"LT High school","Female","White","Yes","Both in U.S.",0,"$15000 - 19999","$15000 - 19999","Conservative",NA,NA,"Not too happy",NA,"No",NA,NA,"Hourly wage",NA,NA,NA,NA,"A great deal","Only some","Hardly any","A great deal","A great deal","A great deal","45 to 54","1-2","No","No","No","No","No","Japanese",NA,NA
1621,"Working full time","Married",2,53,16,8,6,17,"Bachelor","Male","White","No","Neither in U.S.",4,"$20000 - 24999","$20000 - 24999","Moderate","Oppose",NA,"Pretty happy","Very happy",NA,"Few times a week",1,NA,"Other Spanish","Other Spanish",NA,NA,"A great deal",NA,"Only some","Only some","A great deal","Only some","45 to 54","1-2","No","No","No","Yes","Yes","German","Japanese","Japanese"
1622,"School","Never married",0,23,16,19,17,NA,"Bachelor","Female","Black","Yes","Both in U.S.",0,"$25000 or more",NA,"Moderate","Oppose","Yes","Very happy",NA,"No","Every day",3,NA,"Africa","Africa",NA,NA,NA,NA,NA,NA,NA,NA,"Less than 25","None","Yes","No","Yes","No","No","Japanese","American",NA
1623,"Working full time","Never married",0,32,18,12,12,NA,"Bachelor","Male","White","No","Neither in U.S.",4,"$25000 or more","$25000 or more","Moderate","Favor","Yes","Not too happy",NA,NA,"Every day",2,"Hourly wage","Greece","Greece",NA,NA,"A great deal","A great deal","Hardly any","Hardly any","A great deal","Hardly any","25 to 34","None","Yes","No","No","No","No","Korean","Japanese",NA
1624,"Working full time","Never married",1,28,16,NA,14,NA,"Bachelor","Female","Black","Yes","Both in U.S.",0,NA,NA,"Moderate","Favor",NA,"Very happy",NA,"No",NA,NA,"Monthly salary","Africa","Africa",NA,NA,"Only some","Only some","Only some","Hardly any","Hardly any",NA,"25 to 34","1-2","No","No","No","No","No","German",NA,NA
1625,"Temporarily not working","Never married",0,38,14,14,13,NA,"High school","Male","White","Yes","Both in U.S.",0,"$25000 or more","$20000 - 24999","Slightly liberal","Favor","Yes","Pretty happy",NA,"No","Less than once a week",9,NA,"American Indian","Ireland","American Indian","England and Wales",NA,NA,NA,NA,NA,NA,"35 to 44","None","No","No","Yes","No","No","American","American","American"
1626,"Working part-time","Never married",0,25,13,NA,13,NA,"High school","Male","White","Yes","Neither in U.S.",NA,"$10000 - 14999","$10000 - 14999","Moderate","Oppose","Yes","Not too happy",NA,"Yes",NA,0,"Hourly wage","Germany","Germany",NA,NA,"A great deal","A great deal","A great deal","A great deal","A great deal","Only some","25 to 34","None","No","No","No","No","No","American",NA,NA
1627,"Working full time","Never married",1,27,16,NA,12,NA,"Bachelor","Female","Black","Yes","Both in U.S.",0,"$10000 - 14999","$10000 - 14999","Moderate","Oppose","Yes","Not too happy",NA,NA,"Less than once a week",3,"Annual salary",NA,NA,NA,NA,"Hardly any","Only some","Only some","Hardly any","Only some","Hardly any","25 to 34","1-2","No","No","Yes","No","Yes","American",NA,NA
1628,"Working full time","Divorced",2,48,6,6,6,NA,"LT High school","Female","White","Yes","Both in U.S.",0,"$10000 - 14999","$10000 - 14999","Slightly conservative","Oppose","Yes","Pretty happy",NA,NA,"Few times a week",4,"Hourly wage","France","Germany","France",NA,"Only some","Only some","Hardly any","Only some","Hardly any","Only some","45 to 54","1-2","No","No","Yes","No","Yes","Japanese","American","American"
1629,"Working part-time","Never married",0,51,14,11,6,NA,"High school","Female","Black","Yes","Both in U.S.",0,"$7000 TO 7999","$7000 TO 7999","Slightly liberal","Favor","Yes","Not too happy",NA,"No",NA,1,"Hourly wage","Africa","Austria","Africa",NA,"Only some","Only some","Only some","A great deal","A great deal","A great deal","45 to 54","None","No","No","No","No","No","Swedish","Korean","American"
1630,"Working full time","Divorced",4,40,13,6,6,NA,"High school","Female","Black","Yes","Both in U.S.",0,"$15000 - 19999","$15000 - 19999","Moderate",NA,"Yes","Pretty happy",NA,"No","Every day",4,"Hourly wage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35 to 44","3-4","Yes","No","Yes","No","No","Korean",NA,NA
1631,"Working full time","Married",0,32,18,18,NA,18,"Bachelor","Female","Other","No","Neither in U.S.",4,NA,NA,NA,"Favor","Yes","Not too happy","Very happy","No",NA,15,NA,"China","China",NA,NA,"A great deal","A great deal",NA,"Only some","A great deal","A great deal","25 to 34","None","No","No","Yes","No","No","Japanese","American","Korean"
1632,"Working full time","Never married",0,30,17,NA,12,NA,"Bachelor","Male","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Moderate","Favor","Yes",NA,NA,NA,"Few times a week",1,NA,NA,NA,NA,NA,"Only some",NA,"Only some","Hardly any","A great deal","Hardly any","25 to 34","None","No","No","No","Yes","Yes","Korean","Japanese","American"
1633,"School","Never married",0,22,15,NA,14,NA,"High school","Female","Black","Yes","Both in U.S.",0,"$3000 TO 3999","$3000 TO 3999","Moderate",NA,"Yes","Very happy",NA,"No",NA,3,NA,"Africa","Africa",NA,NA,"A great deal","A great deal","Only some","A great deal","A great deal","Only some","Less than 25","None","No","No","Yes","No","No","Swedish","American",NA
1634,"Keeping house","Married",4,29,9,NA,12,14,"LT High school","Male","Black","Yes","Both in U.S.",0,"$10000 - 14999","$1000 TO 2999","Moderate","Oppose",NA,"Pretty happy","Very happy",NA,"Few times a week",1,NA,"Africa","Africa",NA,NA,"A great deal","A great deal","A great deal","Hardly any","A great deal","Only some","25 to 34","3-4","No","No","No","Yes","Yes","American","Japanese",NA
1635,"Working full time","Never married",0,28,12,NA,NA,NA,"High school","Female","Black","Yes","Both in U.S.",0,"$20000 - 24999","$10000 - 14999","Conservative",NA,"Yes","Not too happy",NA,NA,"Few times a week",3,NA,"Africa","Africa",NA,NA,"Only some","A great deal","Only some","Hardly any","Only some","Only some","25 to 34","None","No","No","Yes","No","Yes","American","Other","Japanese"
1636,"Working full time","Divorced",1,34,14,12,12,NA,"High school","Male","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Slightly liberal","Favor","Yes","Very happy",NA,"Yes","Few times a week",1,"Hourly wage","England and Wales","England and Wales",NA,NA,NA,NA,NA,NA,NA,NA,"25 to 34","1-2","No","No","No","Yes","Yes","Other","Japanese","German"
1637,"Working full time","Divorced",2,42,12,NA,12,NA,"High school","Female","Black","Yes","Both in U.S.",0,"$15000 - 19999","$15000 - 19999","Conservative","Favor","Yes","Pretty happy",NA,"No","Less than once a week",1,"Hourly wage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35 to 44","1-2","No","No","No","Yes","Yes","American","American","American"
1638,"Working full time","Divorced",1,33,10,NA,NA,NA,"High school","Female","Black","Yes","Both in U.S.",NA,"$15000 - 19999","$15000 - 19999","Slightly liberal","Oppose",NA,"Very happy",NA,"No",NA,NA,"Hourly wage","Africa","Africa",NA,NA,"A great deal","A great deal","Only some","Only some","A great deal","Only some","25 to 34","1-2","No","No","No","No","No","American","German","Japanese"
1639,"Working full time","Never married",0,21,12,NA,12,NA,"High school","Female","Black","Yes","Both in U.S.",NA,"$25000 or more","$10000 - 14999","Slightly conservative",NA,"Yes","Very happy",NA,NA,"Few times a week",3,"Hourly wage",NA,NA,NA,NA,"A great deal","A great deal","A great deal","A great deal","A great deal","Only some","Less than 25","None","No","No","Yes","No","Yes","Other","American",NA
1640,"Working full time","Never married",1,37,13,NA,12,NA,"High school","Female","Black","Yes","Both in U.S.",0,"$20000 - 24999","$20000 - 24999","Slightly conservative","Favor","Yes","Pretty happy",NA,"No","Every day",1,"Other pay rate","American only","American only",NA,NA,NA,NA,NA,NA,NA,NA,"35 to 44","1-2","Yes","No","No","No","No","Korean","Other",NA
1641,"Working full time","Married",0,23,13,12,12,15,"High school","Female","Black","Yes","Both in U.S.",0,"$20000 - 24999","$10000 - 14999","Slightly conservative","Favor","Yes","Very happy","Very happy",NA,"Less than once a week",2,"Hourly wage",NA,NA,NA,NA,"A great deal","Only some","A great deal","Only some","A great deal","Only some","Less than 25","None","No","No","No","Yes","Yes","Japanese","Japanese",NA
1642,"Working part-time","Never married",2,23,12,12,16,NA,"High school","Female","Black","Yes","Both in U.S.",0,"$5000 TO 5999","$5000 TO 5999","Moderate","Oppose",NA,"Very happy",NA,"No",NA,NA,"Hourly wage","Africa","Africa",NA,NA,"A great deal","Only some","A great deal","Hardly any","A great deal","Hardly any","Less than 25","1-2","No","No","No","No","No","Swedish","American","American"
1643,"Keeping house","Widowed",3,77,11,NA,NA,NA,"LT High school","Female","White","Yes","Both in U.S.",0,"$10000 - 14999",NA,"Moderate","Oppose",NA,"Not too happy",NA,NA,"Every day",2,NA,NA,"Germany","Ireland",NA,"A great deal",NA,"Only some","Hardly any","A great deal","Hardly any","65 or older","3-4","Yes","No","No","No","No","German",NA,NA
1644,"Working full time","Married",2,61,7,NA,NA,7,"LT High school","Male","White","Yes","Both in U.S.",NA,"$25000 or more","$25000 or more","Slightly conservative","Favor",NA,"Very happy","Very happy","Yes",NA,2,NA,NA,"Germany","American Indian",NA,"Only some","Only some","Hardly any","Only some","A great deal","Hardly any","55 to 64","1-2","No","No","No","No","No","German","Japanese",NA
1645,"Working part-time","Separated",5,45,13,11,NA,NA,"High school","Female","Black","Yes","Both in U.S.",0,"$3000 TO 3999","$3000 TO 3999","Moderate","Oppose","Yes","Pretty happy",NA,"No",NA,2,"Daily wage","Poland","Poland",NA,NA,"A great deal","A great deal","A great deal","Only some","A great deal","Only some","45 to 54","5 or more","No","No","No","No","No","Other","American","Japanese"
1646,"Keeping house","Separated",2,36,13,10,13,NA,"High school","Female","Black","Yes","Both in U.S.",0,"LT $1000",NA,"Slightly conservative",NA,"Yes","Not too happy",NA,"No","Every day",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35 to 44","1-2","Yes","No","No","No","No","German",NA,NA
1647,"Keeping house","Married",0,54,12,11,6,13,"High school","Female","White","Yes","Both in U.S.",0,"$25000 or more",NA,"Slightly conservative",NA,NA,"Pretty happy","Pretty happy",NA,"Once a week",3,NA,"Ireland","Ireland",NA,NA,"Only some","Only some","A great deal","Only some","A great deal","Only some","45 to 54","None","No","Yes","Yes","No","Yes","American","American","German"
1648,"School","Never married",0,21,12,NA,12,NA,"High school","Female","Black","Yes","Both in U.S.",0,"$20000 - 24999","$1000 TO 2999","Liberal","Favor","No","Pretty happy",NA,"No",NA,2,NA,"American Indian","American Indian","Africa",NA,"A great deal","Only some","A great deal","Only some","A great deal","Only some","Less than 25","None","No","No","No","No","No","American","German",NA
1649,"Retired","Married",0,73,14,8,8,12,"High school","Male","White","Yes","Both in U.S.",0,"$20000 - 24999",NA,"Slightly conservative","Favor","Yes","Pretty happy","Pretty happy","Yes","Every day",2,NA,NA,"Mexico","England and Wales","France",NA,NA,NA,NA,NA,NA,"65 or older","None","Yes","No","No","No","No","Japanese","American",NA
1650,"Working full time","Divorced",1,38,16,9,12,NA,"Bachelor","Female","Black","Yes","Both in U.S.",0,"$10000 - 14999","$10000 - 14999","Slightly liberal","Favor","Yes","Very happy",NA,"No","Once a week",2,NA,"Africa","Africa",NA,NA,NA,NA,NA,NA,NA,NA,"35 to 44","1-2","No","Yes","No","Yes","Yes","American","Japanese",NA
1651,"Working part-time","Married",4,66,16,9,9,11,"Bachelor","Male","White","Yes","Neither in U.S.",4,"$25000 or more","$25000 or more","Moderate","Favor","No","Pretty happy","Pretty happy","No",NA,1,NA,"Italy","Italy",NA,NA,"Only some","Only some","Only some","Only some","Only some","Only some","65 or older","3-4","No","No","No","No","No","American","German",NA
1652,"Working full time","Widowed",1,54,16,12,NA,NA,"Bachelor","Female","Black","Yes","Father only",2,"$25000 or more","$25000 or more","Moderate","Favor",NA,"Pretty happy",NA,"No",NA,NA,"Hourly wage","American only","American only",NA,NA,"Only some","Only some","Only some","Only some","Only some","Only some","45 to 54","1-2","No","No","No","No","No","Korean","Korean",NA
1653,"Keeping house","Married",2,35,10,12,12,12,"High school","Female","White","Yes","Father only",2,"$25000 or more","$4000 TO 4999","Moderate",NA,"Yes","Pretty happy","Pretty happy","Yes","Less than once a week",3,NA,"Germany","Germany","Ireland",NA,NA,NA,NA,NA,NA,NA,"35 to 44","1-2","No","No","Yes","No","Yes","German","American","American"
1654,"Working full time","Married",2,52,12,NA,8,14,"High school","Female","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Moderate","Favor","No","Pretty happy","Pretty happy","Yes","Few times a week",2,NA,"England and Wales","England and Wales",NA,NA,NA,NA,NA,NA,NA,NA,"45 to 54","1-2","No","No","No","Yes","Yes","American","American","American"
1655,"Working part-time","Married",3,35,14,NA,NA,12,"High school","Female","White","Yes","Both in U.S.",0,"$25000 or more","$6000 TO 6999","Moderate","Oppose","Yes","Pretty happy","Pretty happy",NA,"Few times a week",3,"Hourly wage","Germany","Germany",NA,NA,"A great deal","Only some","A great deal","Hardly any","A great deal","Hardly any","35 to 44","3-4","No","No","Yes","No","Yes","American",NA,NA
1656,"Working full time","Divorced",2,52,16,NA,15,NA,"Bachelor","Female","White","Yes","Both in U.S.",2,"$25000 or more","$15000 - 19999","Moderate","Oppose","Yes","Pretty happy",NA,NA,"Every day",2,NA,"Ireland","Ireland","England and Wales","Poland","Only some",NA,"Only some","Hardly any","A great deal","Only some","45 to 54","1-2","Yes","No","No","No","No","American","American","German"
1657,"Unemployed, laid off","Never married",0,19,11,16,12,NA,"High school","Female","White","Yes","Both in U.S.",0,"$25000 or more","$3000 TO 3999","Slightly conservative","Favor","Yes","Pretty happy",NA,"No",NA,4,NA,NA,"Germany","Italy","Ireland","A great deal","A great deal","Only some","A great deal","A great deal","A great deal","Less than 25","None","No","No","Yes","No","No","Japanese","American","Japanese"
1658,"Keeping house","Married",1,73,12,NA,NA,12,"High school","Female","White","Yes","Neither in U.S.",4,NA,NA,"Moderate","Oppose",NA,"Pretty happy","Very happy",NA,"Every day",4,NA,NA,"Austria","Hungary",NA,"A great deal","Only some","A great deal","Only some","A great deal","Only some","65 or older","1-2","Yes","No","Yes","No","No","Japanese","German","Japanese"
1659,"Other","Never married",0,19,11,18,16,NA,"LT High school","Male","White","Yes","Mother only",2,"$25000 or more",NA,"Moderate","Oppose","Yes","Not too happy",NA,NA,"Once a week",2,NA,"Scotland","Scotland",NA,NA,"Only some","Hardly any","Only some",NA,"Only some","Only some","Less than 25","None","No","Yes","No","Yes","Yes","Japanese","Japanese","Japanese"
1660,"Working full time","Married",4,43,19,18,16,16,"Graduate","Male","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Slightly conservative","Favor","Yes","Very happy","Very happy","Yes","Every day",1,NA,"Germany","Germany",NA,NA,NA,NA,NA,NA,NA,NA,"35 to 44","3-4","Yes","No","No","No","No","American","American","Japanese"
1661,"Working full time","Married",3,43,20,20,20,16,"Graduate","Male","White","Yes","Both in U.S.",0,"$25000 or more",NA,"Slightly conservative","Favor","Yes","Pretty happy","Very happy",NA,"Every day",2,"Annual salary","England and Wales","England and Wales",NA,NA,"Only some","Only some","Only some","Hardly any","Only some","Only some","35 to 44","3-4","Yes","No","No","No","No","Japanese","German","German"
1662,"Working full time","Married",2,58,17,16,12,16,"Bachelor","Male","White","Yes","Both in U.S.",4,"$25000 or more","$25000 or more","Moderate","Favor","Yes","Very happy","Very happy","No",NA,3,NA,"Russia","Russia",NA,NA,"A great deal","A great deal","Only some","Hardly any","A great deal","A great deal","55 to 64","1-2","No","No","Yes","No","No","Korean",NA,NA
1663,"Other","Married",3,63,16,19,12,19,"Bachelor","Female","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Moderate","Favor","No","Pretty happy","Very happy","Yes","Every day",1,NA,"England and Wales","England and Wales",NA,NA,NA,NA,NA,NA,NA,NA,"55 to 64","3-4","Yes","No","No","No","No","Korean","American",NA
1664,"Retired","Married",2,68,16,16,16,19,"Bachelor","Male","White","Yes","Both in U.S.",0,"$25000 or more",NA,"Slightly conservative","Favor",NA,"Very happy","Very happy","No",NA,NA,NA,"Germany","Germany",NA,NA,"A great deal","A great deal","Only some","Only some","A great deal","Only some","65 or older","1-2","No","No","No","No","No","American","German","American"
1665,"School","Married",2,42,16,16,12,16,"Bachelor","Female","White","Yes","Mother only",2,"$25000 or more",NA,"Liberal","Oppose","Yes","Very happy","Very happy","No",NA,0,NA,"Philippines","England and Wales","Germany","Philippines","Only some","A great deal","Hardly any","Hardly any","A great deal","Hardly any","35 to 44","1-2","No","No","No","No","No","Swedish","Swedish","American"
1666,"Working full time","Married",3,45,20,3,10,16,"Graduate","Male","White","Yes","Neither in U.S.",4,"$25000 or more","$25000 or more","Moderate","Favor","Yes","Very happy","Very happy","No","Every day",2,"Other pay rate","Poland","Poland",NA,NA,NA,NA,NA,NA,NA,NA,"45 to 54","3-4","Yes","No","No","No","No","German","Japanese","Swedish"
1667,"Working full time","Divorced",2,49,15,16,15,NA,"Junior college","Male","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Moderate","Favor","Yes","Pretty happy",NA,"Yes",NA,2,"Annual salary","Ireland","Ireland","France","Germany","Hardly any","Only some","Hardly any","Only some","Only some","A great deal","45 to 54","1-2","No","No","No","No","No","German","Swedish","Other"
1668,"Temporarily not working","Married",4,60,8,6,5,8,"LT High school","Male","White","Yes","Both in U.S.",0,"LT $1000",NA,"Slightly liberal","Favor","Yes","Very happy","Very happy",NA,"Once a week",6,NA,"Belgium","Ireland","Belgium",NA,"Hardly any","Only some","Only some","Only some","Hardly any","Hardly any","55 to 64","3-4","No","Yes","Yes","No","No","American","Swedish","American"
1669,"Working full time","Separated",0,36,15,NA,12,NA,"High school","Female","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Liberal","Oppose","Yes","Not too happy",NA,"No",NA,NA,NA,"Czechoslovakia","Czechoslovakia",NA,NA,"Only some","Only some","Only some","Hardly any","Hardly any","Only some","35 to 44","None","No","No","No","No","No","American","Korean","Japanese"
1670,"Working full time","Married",4,38,12,12,10,11,"High school","Female","Black","Yes","Both in U.S.",NA,"$25000 or more","$10000 - 14999","Conservative","Oppose","Yes","Pretty happy","Pretty happy","Yes","Never",5,"Hourly wage","American Indian","American Indian",NA,NA,NA,NA,NA,NA,NA,NA,"35 to 44","3-4","No","No","Yes","No","No","American","Swedish","American"
1671,"Working full time","Widowed",2,50,11,6,NA,NA,"High school","Female","White","Yes","Both in U.S.",NA,"$15000 - 19999","$15000 - 19999","Conservative","Favor",NA,"Very happy",NA,"No",NA,NA,"Hourly wage","Ireland","Ireland",NA,NA,"A great deal","Only some","Hardly any","Only some","Hardly any","Only some","45 to 54","1-2","No","No","No","No","No","German","Swedish","Korean"
1672,"Working full time","Married",2,49,8,6,6,11,"LT High school","Male","White","Yes","Both in U.S.",0,"$25000 or more","$15000 - 19999","Slightly liberal","Favor","Yes","Very happy","Very happy",NA,"Every day",3,"Monthly salary",NA,NA,NA,NA,"Hardly any","Only some","Hardly any","Hardly any","Hardly any","Hardly any","45 to 54","1-2","Yes","No","Yes","No","No","American","Japanese",NA
1673,"Working full time","Never married",1,36,14,NA,12,NA,"Junior college","Female","White","Yes","Both in U.S.",0,"$20000 - 24999","$20000 - 24999","Slightly liberal","Favor","No","Pretty happy",NA,"No","Few times a week",2,"Monthly salary","England and Wales","England and Wales",NA,NA,NA,NA,NA,NA,NA,NA,"35 to 44","1-2","No","No","No","Yes","Yes","American","American","Japanese"
1674,"Working full time","Divorced",4,45,12,NA,11,NA,"High school","Male","Black","Yes","Both in U.S.",NA,"$25000 or more","$25000 or more","Slightly conservative","Oppose",NA,"Pretty happy",NA,"Yes",NA,NA,"Hourly wage",NA,NA,NA,NA,"Only some","A great deal","A great deal","Only some","Only some","Only some","45 to 54","3-4","No","No","No","No","No","Japanese",NA,NA
1675,"Working full time","Married",0,40,12,9,12,12,"High school","Male","White","Yes","Both in U.S.",0,"$25000 or more","$20000 - 24999","Moderate","Favor","No","Very happy","Very happy",NA,"Once a week",4,NA,NA,"Germany","Ireland",NA,"Only some","Only some","Only some","Only some","A great deal","Only some","35 to 44","None","No","Yes","Yes","No","Yes","American",NA,NA
1676,"Working full time","Married",2,32,13,12,12,12,"High school","Female","Other","No","Neither in U.S.",4,"$25000 or more","$15000 - 19999","Slightly liberal","Favor","Yes","Pretty happy","Very happy","Yes","Less than once a week",2,"Weekly wage","Philippines","Philippines",NA,NA,NA,NA,NA,NA,NA,NA,"25 to 34","1-2","No","No","No","Yes","Yes","American","American","American"
1677,"Working full time","Divorced",2,51,14,10,12,NA,"High school","Female","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Slightly conservative","Favor",NA,"Pretty happy",NA,"No",NA,NA,"Annual salary","Ireland","Ireland","England and Wales","Scotland","Hardly any","A great deal","Hardly any","Hardly any","Only some","Hardly any","45 to 54","1-2","No","No","No","No","No","Japanese","American","Japanese"
1678,"Working full time","Never married",0,30,12,NA,12,NA,"High school","Male","Black","Yes","Both in U.S.",0,"$10000 - 14999","$10000 - 14999","Conservative","Favor","Yes","Not too happy",NA,NA,"Few times a week",7,"Monthly salary","Africa","Africa",NA,NA,"Only some","A great deal","A great deal","Only some","Only some","Hardly any","25 to 34","None","No","No","Yes","No","No","German","Japanese","Korean"
1679,"Working full time","Never married",0,30,14,10,12,NA,"High school","Male","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Conservative","Favor",NA,"Pretty happy",NA,"Yes",NA,NA,"Hourly wage","Scotland","Germany","Scotland",NA,"Hardly any","Hardly any","Hardly any","Hardly any","Only some","Hardly any","25 to 34","None","No","No","No","No","No","American","American","American"
1680,"Working full time","Never married",0,33,16,12,12,NA,"Bachelor","Female","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Slightly conservative","Favor","Yes","Pretty happy",NA,NA,"Few times a week",4,NA,"England and Wales","England and Wales","Germany","Scotland","Only some","A great deal","Hardly any","Only some","Only some","Hardly any","25 to 34","None","No","No","Yes","No","Yes","Japanese","Japanese","American"
1681,"Retired","Married",0,67,14,8,10,12,"High school","Male","White","Yes","Both in U.S.",2,"$25000 or more",NA,"Moderate","Favor","Yes","Pretty happy","Pretty happy","No",NA,5,NA,"Germany","Germany","France","England and Wales","Only some","Only some","Only some","A great deal","Only some","Only some","65 or older","None","No","No","Yes","No","No","Japanese","American","Japanese"
1682,"Working full time","Divorced",1,49,15,15,16,NA,"High school","Female","Black","No","Both in U.S.",0,"$25000 or more","$25000 or more","Liberal","Favor","No","Not too happy",NA,NA,"Once a week",2,"Hourly wage","Africa","Japan","Africa",NA,"Hardly any","Hardly any","Hardly any","Hardly any","Only some","Hardly any","45 to 54","1-2","No","Yes","No","Yes","Yes","German","American",NA
1683,"Working part-time","Married",2,32,12,8,12,12,"High school","Female","White","Yes","Both in U.S.",0,"$25000 or more","$20000 - 24999","Conservative","Favor","Yes","Very happy","Very happy","No",NA,5,NA,"American Indian","Germany","American Indian",NA,"A great deal","A great deal","Hardly any","Only some","Only some","Only some","25 to 34","1-2","No","No","Yes","No","No","Japanese","Japanese","Korean"
1684,"Retired","Married",4,73,12,NA,NA,18,"High school","Male","White","Yes","Both in U.S.",0,"$25000 or more","$15000 - 19999","Slightly conservative","Favor","Yes","Pretty happy","Pretty happy","Yes","Less than once a week",5,NA,"Germany","Germany",NA,NA,NA,NA,NA,NA,NA,NA,"65 or older","3-4","No","No","Yes","No","No","Other","American",NA
1685,"Keeping house","Married",4,40,13,8,8,14,"Junior college","Female","White","Yes","Both in U.S.",0,"$25000 or more",NA,"Moderate","Oppose",NA,"Very happy","Very happy","No",NA,NA,NA,NA,NA,NA,NA,"Only some","Only some","Only some","Hardly any","Only some","Hardly any","35 to 44","3-4","No","No","No","No","No","American","American",NA
1686,"Working full time","Never married",1,51,16,16,12,NA,"Bachelor","Female","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Slightly conservative","Favor",NA,"Pretty happy",NA,"No",NA,NA,"Hourly wage","Germany","Germany",NA,NA,"A great deal","A great deal","A great deal","A great deal","A great deal","A great deal","45 to 54","1-2","No","No","No","No","No","Japanese","American","German"
1687,"Working full time","Married",0,26,16,12,15,17,"Bachelor","Female","Black","Yes","Both in U.S.",0,"$25000 or more","$20000 - 24999","Moderate","Favor","Yes","Pretty happy","Pretty happy","No","Few times a week",4,"Monthly salary","Africa","Africa",NA,NA,NA,NA,NA,NA,NA,NA,"25 to 34","None","No","No","Yes","No","Yes","Korean","German",NA
1688,"Working full time","Separated",3,29,14,8,12,NA,"High school","Male","Black","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Slightly conservative",NA,NA,"Not too happy",NA,NA,"Less than once a week",21,NA,"Africa","Africa",NA,NA,"Hardly any","Only some","Only some","A great deal","Only some","A great deal","25 to 34","3-4","No","No","Yes","No","No","German",NA,NA
